Cliente,Contrato,Realizado2026,TendenciaRestante2026
Via Araucária S.A,SUP-7133-24,6939717.06,3246012.56
Ecopistas,SUP-7813-24,3528544.79,0
EPR Litoral Pioneiro,SUP-7128-24,5174545.37,0
EPR Litoral Pioneiro,SUP-7722-24,5666304.65,2434130.97
EPR Vias do Café,SUP-7770-24,325252.62,187491.56
EPR Triângulo,SUP-7769-24,633226.5,113508.69
EPR Sul de Minas,SUP-7768-24,60611.44,50171.82
Pantanal,SUP-6806-23,12111257.74,6361529.02
Pantanal,SUP-8187-25,472616.38,102580
RioSP,SUP-6498-23,1614633.92,466132.2
RioSP,SUP-6830-23,1577799.79,1579241.26
RioSP,SUP-7285-24,4759079.74,9419610.46
Via Costeira,SUP-5947-23 (VC),970249.89,0
EPR Via Mineira,SUP-7593-24,2799200.16,1561518.82
Via Sul,SUP-5947-23 (VS),114687.91,0
Rota Sorocabana,SUP-8370-25,13583737.14,4581857.59
Via Sul,SUP-7160-24,8450,0
Canhedo Beppu,SUP-8353-25,0,0
AutoBan,SUP-8224-25 (AB),73130.56,463795
PRVias,SUP-8224-25 (PR),91799.09,0
Nova 381,SUP-8250-25,691634.63,14878.79
Engecorps,SUP-8272-25,0,0
Sondotécnica,SUP-8276-25,341603.96,1073293.99
Sondotécnica,SUP-8413-26,0,0
Quadrante,SUP-8408-26,1205454.23,2053233.34
BID 2.0 - DIVERSOS,SUP-8224-25,55588.3,868061.67
EPR Iguaçu,SUP-8437-26,1443895.78,0
TPF,SUP-8417-26,0,555046.22
Engetrens,SUP-8511-26,0,0
Quadrante,SUP-8551-26,0,136988
EPR Paraná - Lote 4,SUP-8520-26,0,499960.36
Via Campo,SUP-8452-26,0,1182053.21
Macroanel,SUP-8224-25 (MA),0,3004480.34
TPF,SUP-8770-26,0,0
Diversos,Diversos,3125161.75,530237.65
