IdEquipe,SUP,Tipo,DiaEpoch
503,SUP-7813-24,SP,20458
503,SUP-7813-24,SP,20458
523,SUP-7813-24,SP,20458
503,SUP-7813-24,SP,20458
523,SUP-7813-24,SP,20459
503,SUP-7813-24,SP,20459
503,SUP-7813-24,SP,20460
527,SUP-8370-25,ST,20460
447,SUP-8370-25,ST,20460
510,SUP-8370-25,ST,20460
523,SUP-7813-24,SP,20461
527,SUP-8370-25,ST,20461
447,SUP-8370-25,ST,20461
527,SUP-8370-25,ST,20461
510,SUP-8370-25,ST,20461
447,SUP-8370-25,ST,20461
447,SUP-8370-25,ST,20461
527,SUP-8370-25,ST,20461
510,SUP-8370-25,ST,20461
447,SUP-8370-25,ST,20461
447,SUP-8370-25,ST,20461
527,SUP-8370-25,ST,20461
510,SUP-8370-25,ST,20461
447,SUP-8370-25,ST,20461
527,SUP-8370-25,ST,20461
510,SUP-8370-25,ST,20461
447,SUP-8370-25,ST,20461
447,SUP-8370-25,ST,20461
510,SUP-8370-25,ST,20461
527,SUP-8370-25,ST,20461
503,SUP-7813-24,SP,20462
447,SUP-8370-25,ST,20462
527,SUP-8370-25,ST,20462
447,SUP-8370-25,ST,20462
510,SUP-8370-25,ST,20462
527,SUP-8370-25,ST,20462
447,SUP-8370-25,ST,20462
527,SUP-8370-25,ST,20462
510,SUP-8370-25,ST,20462
447,SUP-8370-25,ST,20462
510,SUP-8370-25,ST,20462
447,SUP-8370-25,ST,20462
527,SUP-8370-25,ST,20462
447,SUP-8370-25,ST,20462
510,SUP-8370-25,ST,20462
527,SUP-8370-25,ST,20462
447,SUP-8370-25,ST,20462
510,SUP-8370-25,ST,20462
447,SUP-8370-25,ST,20462
527,SUP-8370-25,ST,20462
527,SUP-8370-25,ST,20462
447,SUP-8370-25,ST,20462
510,SUP-8370-25,ST,20462
527,SUP-8370-25,ST,20462
527,SUP-8370-25,ST,20463
447,SUP-8370-25,ST,20463
527,SUP-8370-25,ST,20463
527,SUP-8370-25,ST,20463
447,SUP-8370-25,ST,20463
510,SUP-8370-25,ST,20463
527,SUP-8370-25,ST,20463
447,SUP-8370-25,ST,20463
527,SUP-8370-25,ST,20463
447,SUP-8370-25,ST,20463
510,SUP-8370-25,ST,20463
527,SUP-8370-25,ST,20463
447,SUP-8370-25,ST,20464
447,SUP-8370-25,ST,20464
527,SUP-8370-25,ST,20464
447,SUP-8370-25,ST,20464
527,SUP-8370-25,ST,20464
527,SUP-8370-25,ST,20464
447,SUP-8370-25,ST,20464
447,SUP-8370-25,ST,20464
527,SUP-8370-25,ST,20464
447,SUP-8370-25,ST,20464
527,SUP-8370-25,ST,20464
447,SUP-8370-25,ST,20464
527,SUP-8370-25,ST,20464
447,SUP-8370-25,ST,20464
527,SUP-8370-25,ST,20464
447,SUP-8370-25,ST,20464
527,SUP-8370-25,ST,20464
447,SUP-8370-25,ST,20464
565,SUP-8370-25,ST,20465
565,SUP-8370-25,ST,20465
565,SUP-8370-25,ST,20465
565,SUP-8370-25,ST,20465
565,SUP-8370-25,ST,20465
565,SUP-8370-25,ST,20465
565,SUP-8370-25,ST,20465
565,SUP-8370-25,ST,20465
565,SUP-8370-25,ST,20465
527,SUP-8370-25,ST,20465
527,SUP-8370-25,ST,20465
527,SUP-8370-25,ST,20465
527,SUP-8370-25,ST,20465
527,SUP-8370-25,ST,20465
527,SUP-8370-25,ST,20466
558,SUP-8370-25,ST,20466
527,SUP-8370-25,ST,20466
558,SUP-8370-25,ST,20466
527,SUP-8370-25,ST,20466
558,SUP-8370-25,ST,20466
527,SUP-8370-25,ST,20466
558,SUP-8370-25,ST,20466
527,SUP-8370-25,ST,20466
558,SUP-8370-25,ST,20466
527,SUP-8370-25,ST,20466
558,SUP-8370-25,ST,20466
558,SUP-8370-25,ST,20466
527,SUP-8370-25,ST,20466
527,SUP-8370-25,ST,20466
558,SUP-8370-25,ST,20466
565,SUP-8370-25,ST,20467
565,SUP-8370-25,ST,20467
527,SUP-8370-25,ST,20467
565,SUP-8370-25,ST,20467
527,SUP-8370-25,ST,20467
565,SUP-8370-25,ST,20467
527,SUP-8370-25,ST,20467
565,SUP-8370-25,ST,20467
565,SUP-8370-25,ST,20467
527,SUP-8370-25,ST,20467
527,SUP-8370-25,ST,20467
565,SUP-8370-25,ST,20467
527,SUP-8370-25,ST,20467
565,SUP-8370-25,ST,20467
527,SUP-8370-25,ST,20467
527,SUP-8370-25,ST,20467
523,SUP-6785-23 (SO),SP,20468
463,SUP-6785-23 (SO),SP,20468
503,SUP-6785-23 (SO),SP,20468
527,SUP-8370-25,ST,20468
527,SUP-8370-25,ST,20468
558,SUP-8370-25,ST,20468
527,SUP-8370-25,ST,20468
558,SUP-8370-25,ST,20468
527,SUP-8370-25,ST,20468
558,SUP-8370-25,ST,20468
527,SUP-8370-25,ST,20468
558,SUP-8370-25,ST,20468
527,SUP-8370-25,ST,20468
558,SUP-8370-25,ST,20468
527,SUP-8370-25,ST,20468
558,SUP-8370-25,ST,20468
558,SUP-8370-25,ST,20468
558,SUP-8370-25,ST,20468
468,SUP-6806-23,SM / SM.F / SR,20468
535,SUP-7722-24,SM / SM.F / SR,20469
509,SUP-7722-24,SM / SM.F / SR,20469
503,SUP-6785-23 (SO),SP,20469
523,SUP-6785-23 (SO),SP,20469
335,SUP-6806-23,SM / SM.F / SR,20469
4,SUP-8370-25,SM / SM.F / SR,20469
121,SUP-8370-25,SM / SM.F / SR,20469
405,SUP-7128-24,SM / SM.F / SR,20469
565,SUP-8370-25,ST,20469
527,SUP-8370-25,ST,20469
565,SUP-8370-25,ST,20469
527,SUP-8370-25,ST,20469
565,SUP-8370-25,ST,20469
565,SUP-8370-25,ST,20469
527,SUP-8370-25,ST,20469
565,SUP-8370-25,ST,20469
527,SUP-8370-25,ST,20469
565,SUP-8370-25,ST,20469
527,SUP-8370-25,ST,20469
565,SUP-8370-25,ST,20469
565,SUP-8370-25,ST,20469
