Cliente,Contrato,Sigla,Prevista,Executada,Saldo
CCR AUTOBAN,SUP-8224-25 (AB),SP,13,12,-80
CCR AUTOBAN,SUP-8224-25 (AB),PI,0,5,-19
CCR AUTOBAN,SUP-8224-25 (AB),ST,0,66,-70
CCR AUTOBAN,SUP-8224-25 (AB),PI.S,0,3,-3
CCR AUTOBAN,SUP-8224-25 (AB),INCL.SM,1,0,1
CCR AUTOBAN,SUP-8224-25 (AB),SM,2,0,2
CCR MSVIA,SUP-6806-23,SP,2002,2073,-138
CCR MSVIA,SUP-6806-23,PI,1216,729,333
CCR MSVIA,SUP-6806-23,ST,7093,6634,-1232
CCR MSVIA,SUP-6806-23,SM,61,247,-195
CCR MSVIA,SUP-6806-23,VT,32,21,-2
CCR MSVIA,SUP-6806-23,CPTU,32,27,-7
CCR MSVIA,SUP-6806-23,SH,32,14,17
CCR MSVIA,SUP-6806-23,DN,0,2,-2
CCR MSVIA,SUP-6806-23,BL,0,79,-83
CCR MSVIA,SUP-6806-23,SP.F,0,0,-6
CCR MSVIA,SUP-6806-23,SM.F,21,6,15
CCR MSVIA,SUP-8187-25,PI,0,184,-240
CCR MSVIA,SUP-8224-25 (MS),INCL.SM,1,0,1
CCR MSVIA,SUP-8224-25 (MS),SM,3,0,3
CCR MSVIA,SUP-8224-25 (MS),SP,15,0,15
CCR PRVIAS,SUP-8224-25 (PR),SP,15,29,-36
CCR PRVIAS,SUP-8224-25 (PR),SM,3,0,-3
CCR PRVIAS,SUP-8224-25 (PR),VT,0,4,-4
CCR PRVIAS,SUP-8224-25 (PR),CPTU,0,4,-4
CCR PRVIAS,SUP-8224-25 (PR),SH,0,4,-4
CCR PRVIAS,SUP-8224-25 (PR),INCL.SM,1,0,1
CCR PRVIAS,SUP-6785-23 (PV),SP,3,14,-11
CCR PRVIAS,SUP-6785-23 (PV),PI,10,18,-8
CCR PRVIAS,SUP-6785-23 (PV),ST,5,6,-1
CCR PRVIAS,SUP-6785-23 (PV),SM,10,2,8
CCR PRVIAS,SUP-6785-23 (PV),CPTU,1,0,1
CCR RIOSP,SUP-6498-23,SP,13,77,-72
CCR RIOSP,SUP-6498-23,PI,0,117,-117
CCR RIOSP,SUP-6498-23,ST,1012,402,610
CCR RIOSP,SUP-6498-23,SR,0,1,-1
CCR RIOSP,SUP-6498-23,SM,458,458,-1
CCR RIOSP,SUP-6498-23,VT,12,9,3
CCR RIOSP,SUP-6498-23,CPTU,20,21,-5
CCR RIOSP,SUP-6498-23,SH,0,18,-18
CCR RIOSP,SUP-6498-23,DN,0,12,-12
CCR RIOSP,SUP-6498-23,BL,0,28,-43
CCR RIOSP,SUP-6498-23,BQ,4,1,3
CCR RIOSP,SUP-6498-23,SEG.V,0,30,-33
CCR RIOSP,SUP-6498-23,SEG.A,0,33,-61
CCR RIOSP,SUP-6498-23,SM.A,0,27,-55
CCR RIOSP,SUP-6830-23,SP,54,188,-145
CCR RIOSP,SUP-6830-23,PI,66,125,-133
CCR RIOSP,SUP-6830-23,ST,235,475,-240
CCR RIOSP,SUP-6830-23,SM,132,28,101
CCR RIOSP,SUP-6830-23,VT,7,13,-6
CCR RIOSP,SUP-6830-23,CPTU,1,22,-24
CCR RIOSP,SUP-6830-23,SH,0,14,-14
CCR RIOSP,SUP-6830-23,DN,0,0,-2
CCR RIOSP,SUP-6830-23,BL,12,5,7
CCR RIOSP,SUP-6830-23,SEG.A,0,7,-10
CCR RIOSP,SUP-6830-23,SM.A,0,15,-16
CCR RIOSP,SUP-6830-23,BQ,2,0,2
CCR RIOSP,SUP-7285-24,SP,5178,2115,2876
CCR RIOSP,SUP-7285-24,PI,499,287,53
CCR RIOSP,SUP-7285-24,ST,6137,2184,3888
CCR RIOSP,SUP-7285-24,SR,0,0,-1
CCR RIOSP,SUP-7285-24,SM,940,796,-160
CCR RIOSP,SUP-7285-24,VT,21,16,5
CCR RIOSP,SUP-7285-24,CPTU,60,16,44
CCR RIOSP,SUP-7285-24,SH,60,11,49
CCR RIOSP,SUP-7285-24,DN,50,0,48
CCR RIOSP,SUP-7285-24,BL,42,29,-8
CCR RIOSP,SUP-7285-24,BQ,44,0,38
CCR RIOSP,SUP-7285-24,SM.F,13,0,13
CCR RIOSP,SUP-7285-24,SEG.V,0,0,-4
CCR RIOSP,SUP-7285-24,SEG.A,0,19,-167
CCR RIOSP,SUP-7285-24,SM.A,0,8,-148
CCR RIOSP,SUP8224-25 (RS),INCL.SM,0,0,0
CCR RIOSP,SUP8224-25 (RS),SM,1,0,1
CCR RIOSP,SUP8224-25 (RS),SP,9,0,9
CCR RODOANEL,SUP-8224-25 (RA),SP,5,0,-25
CCR RODOANEL,SUP-8224-25 (RA),SM,1,0,0
CCR RODOANEL,SUP-8224-25 (RA),BL,0,3,-3
CCR RODOANEL,SUP-8224-25 (RA),INCL.SM,0,0,0
CCR RODONORTE,SUP-8224-25 (RN),INCL.SM,0,0,0
CCR RODONORTE,SUP-8224-25 (RN),SM,0,0,0
CCR RODONORTE,SUP-8224-25 (RN),SP,2,0,2
CCR ROTA SOROCABANA,SUP-8370-25,SP,1211,1042,-276
CCR ROTA SOROCABANA,SUP-8370-25,PI,379,161,175
CCR ROTA SOROCABANA,SUP-8370-25,ST,1225,1834,-780
CCR ROTA SOROCABANA,SUP-8370-25,SM,123,286,-184
CCR ROTA SOROCABANA,SUP-8370-25,VT,70,41,29
CCR ROTA SOROCABANA,SUP-8370-25,CPTU,30,40,-10
CCR ROTA SOROCABANA,SUP-8370-25,SH,247,25,222
CCR ROTA SOROCABANA,SUP-8370-25,BL,71,0,71
CCR ROTA SOROCABANA,SUP-8370-25,SN,0,0,-86
CCR ROTA SOROCABANA,SUP-8370-25,DN,49,0,49
CCR ROTA SOROCABANA,SUP-8370-25,INCL.SM,0,0,0
CCR ROTA SOROCABANA,SUP-6785-23 (SO),SP,10,186,-176
CCR ROTA SOROCABANA,SUP-6785-23 (SO),PI,10,50,-40
CCR ROTA SOROCABANA,SUP-6785-23 (SO),ST,5,228,-223
CCR ROTA SOROCABANA,SUP-6785-23 (SO),SM,15,1,14
CCR ROTA SOROCABANA,SUP-6785-23 (SO),BL,10,0,10
CCR ROTA SOROCABANA,SUP-6785-23 (SO),BQ,10,0,10
CCR ROTA SOROCABANA,SUP-6785-23 (SO),CPTU,1,0,1
CCR ROTA SOROCABANA,SUP-6785-23 (SO),VT,5,0,5
CCR ROTA SOROCABANA,SUP-8224-25 (SR),INCL.SM,0,0,0
CCR ROTA SOROCABANA,SUP-8224-25 (SR),SM,1,0,1
CCR ROTA SOROCABANA,SUP-8224-25 (SR),SP,9,0,9
CCR SPVIAS,SUP-8224-25 (SV),INCL.SM,1,0,1
CCR SPVIAS,SUP-8224-25 (SV),SM,2,0,2
CCR SPVIAS,SUP-8224-25 (SV),SP,10,0,10
CCR VIACOSTEIRA,SUP-7130-24,BQ,170,0,170
CCR VIACOSTEIRA,SUP-7130-24,PI,170,0,170
CCR VIACOSTEIRA,SUP-5947-23 (VC),SP,917,1109,-192
