data,maquina,chrome_ok
2026-08-13,COMP-074,true
2026-08-15,COMP-074,true
2026-08-16,COMP-074,true
2026-08-17,COMP-074,true
2026-08-18,COMP-074,true
2026-08-18,COMPUTADOR053,true
2026-08-18,COMPUTADOR053,true
2026-08-19,COMPUTADOR053,true
2026-08-19,COMP-074,true
2026-08-20,COMP-074,true
2026-08-20,COMPUTADOR053,true
2026-08-21,COMP-074,true
2026-08-21,LAPTOP-3479HH9A,true
2026-08-24,LAPTOP-3479HH9A,true
2026-08-24,COMP-074,true
2026-08-24,COMP-074,true
2026-08-25,COMP-074,true
2026-08-25,COMPUTADOR053,true
2026-08-26,COMPUTADOR053,true
2026-08-27,COMPUTADOR053,true
2026-08-27,COMP-074,true
2026-08-28,COMP-074,true
2026-08-28,COMPUTADOR053,true
2026-08-29,LAPTOP-3479HH9A,true
2026-08-31,LAPTOP-3479HH9A,true
