data_hora,maquina,resultado,detalhe
2026-08-18T20:33:28.267Z,COMPUTADOR053,ok,
2026-08-19T11:01:15.003Z,COMPUTADOR053,ok,Avanços (furos) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\supor\OneDrive\Área de Trabalho\AGENTES DE IA\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: Inspected target navigated or closed); Demandas de sondagem (furos não executados) (Execution context was destroyed.)
2026-08-19T11:15:21.999Z,COMP-074,falhou,Avanços (furos) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: DataTable nao inicializou: .producao-grid); Demandas de sondagem (furos não executados) (DataTable nao inicializou: table); Lab Realizado (ensaios) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\lab-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso. Erro original: DataTable nao inicializou: .producao-grid); Demandas de LAB.C/LAB.E (backlog) (DataTable nao inicializou: #table); Equipes (Nenhuma linha encontrada no Link 7 -- abortando sem gravar (sessao expirada; ou período sem nenhuma sondagem -- confira antes de aceitar um CSV vazio).)
2026-08-20T11:01:44.048Z,COMP-074,ok,Avanços (furos) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: Execution context was destroyed.); Demandas de sondagem (furos não executados) (Inspected target navigated or closed)
2026-08-21T11:05:06.883Z,COMP-074,falhou,Avanços (furos) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: DataTable nao inicializou: .producao-grid); Demandas de sondagem (furos não executados) (DataTable nao inicializou: table); Lab Realizado (ensaios) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\lab-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso. Erro original: DataTable nao inicializou: .producao-grid); Demandas de LAB.C/LAB.E (backlog) (DataTable nao inicializou: #table); Equipes (Nenhuma linha encontrada no Link 7 -- abortando sem gravar (sessao expirada; ou período sem nenhuma sondagem -- confira antes de aceitar um CSV vazio).)
2026-08-21T11:22:01.269Z,LAPTOP-3479HH9A,ok,
2026-08-21T13:09:29.739Z,COMPUTADOR053,ok,Demandas de LAB.C/LAB.E (backlog) (CDP Runtime.evaluate sem resposta em 40000ms)
2026-08-24T10:39:58.379Z,LAPTOP-3479HH9A,ok,Avanços (furos) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\kairo\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: Execution context was destroyed.); Demandas de sondagem (furos não executados) (Inspected target navigated or closed); Demandas de LAB.C/LAB.E (backlog) (Execution context was destroyed.)
2026-08-24T10:45:53.597Z,COMP-074,ok,Avanços (furos) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: Inspected target navigated or closed); Demandas de sondagem (furos não executados) (DataTable nao inicializou: #avanco-grid); Lab Realizado (ensaios) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\lab-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso. Erro original: Execution context was destroyed.)
2026-08-24T11:01:12.639Z,COMP-074,ok,Demandas de sondagem (furos não executados) (Execution context was destroyed.)
